City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Bonavista,13,CA,1680569206,79,48.6499,-53.1147,-1.08,7.58
81,Camaná,89,PE,1680569206,85,-16.6228,-72.7111,24.04,1.99
82,Ambilobe,13,MG,1680569206,96,-13.2,49.05,22.23,1.48
83,Alihe,63,CN,1680569206,34,50.5667,123.7167,-1.37,5.66
84,Pemba,40,MZ,1680569206,94,-12.974,40.5178,24.39,4.12
85,Ushtobe,0,KZ,1680569206,29,45.2514,77.9838,1.05,6.97
86,Nemuro,100,JP,1680569206,63,43.3236,145.575,4.14,5.79
87,Esperance,100,AU,1680569207,75,-33.8667,121.9,20.07,3.47
88,Kruisfontein,55,ZA,1680569207,87,-34.0033,24.7314,14.81,4.16
89,San Quintín,5,MX,1680569169,61,30.4833,-115.95,13.11,11.83
90,Sint-Pieters-Leeuw,14,BE,1680568756,75,50.7896,4.2475,3.08,3.05
91,Dubbo,0,AU,1680569207,53,-32.25,148.6167,24.07,5.14
92,Oussouye,0,SN,1680569208,77,12.485,-16.5469,24.05,3.27
93,Mehamn,97,NO,1680569208,80,71.0357,27.8492,0.97,12.35
94,Luangwa,16,ZM,1680569208,96,-15.6167,30.4167,19.94,1.23
95,Florø,100,NO,1680569038,70,61.5996,5.0328,4.98,4.12
96,Coquimbo,0,CL,1680568997,100,-29.9533,-71.3436,15.85,1.03
97,Pangnirtung,33,CA,1680569208,71,66.1451,-65.7125,-18.64,3.29
98,Qaanaaq,0,GL,1680569209,63,77.484,-69.3632,-23.35,3.13
99,Souillac,40,MU,1680569209,88,-20.5167,57.5167,25.21,1.54
100,Hobart,20,AU,1680569032,60,-42.8794,147.3294,18.92,4.63
101,Oktyabr'skoye,19,RU,1680569209,93,43.0645,44.7417,2.08,2.0
102,Taoudenni,0,ML,1680569209,6,22.6783,-3.9836,28.35,3.32
103,Norman Wells,40,CA,1680569209,69,65.282,-126.8329,-1.98,5.66
104,Ancud,98,CL,1680569210,92,-41.8697,-73.8203,11.57,1.55
105,Bredasdorp,100,ZA,1680569210,84,-34.5322,20.0403,15.27,1.09
106,Iqaluit,75,CA,1680569210,71,63.7506,-68.5145,-17.15,8.23
107,Petatlán,6,MX,1680569210,67,17.5167,-101.2667,25.82,1.54
108,Tomakivka,67,UA,1680569210,94,47.8157,34.7414,6.37,2.05
109,Lorengau,29,PG,1680569211,64,-2.0226,147.2712,29.82,1.83
110,Saskylakh,97,RU,1680569213,96,71.9167,114.0833,-22.45,5.59
111,Ipixuna,100,BR,1680569213,98,-1.7625,-48.8043,22.62,1.37
112,Mamakan,100,RU,1680569214,75,57.8161,114.0028,-3.37,7.06
113,Saquena,100,PE,1680569214,97,-4.6667,-73.5167,23.04,0.59
114,Longyearbyen,40,SJ,1680569214,66,78.2186,15.6401,-14.09,5.66
115,Hamilton,20,US,1680569109,50,39.1834,-84.5333,20.97,6.17
116,East London,100,ZA,1680569214,69,-33.0153,27.9116,19.11,8.09
117,Saint Paul Harbor,100,US,1680569214,93,57.79,-152.4072,1.73,4.63
118,Camacha,40,PT,1680569214,63,33.0833,-16.3333,15.68,9.26
119,Opuwo,84,NA,1680569214,43,-18.0607,13.84,20.96,2.57
120,Saint-Augustin,23,CA,1680569215,80,51.226,-58.6502,-2.43,2.35
121,Mīnāb,5,IR,1680569215,72,27.1467,57.0801,19.48,1.0
122,Kulhudhuffushi,90,MV,1680569215,67,6.6221,73.07,27.67,1.85
123,Jacareacanga,99,BR,1680569215,98,-6.2222,-57.7528,22.11,0.65
124,Arona,0,ES,1680569215,82,28.0996,-16.681,16.9,3.09
125,Distrikt Brokopondo,80,SR,1680569215,73,4.75,-55.1667,25.44,4.32
126,Tigil',91,RU,1680569215,82,57.8,158.6667,-6.36,1.51
127,Avarua,20,CK,1680569215,61,-21.2078,-159.775,27.03,5.66
128,Vila,100,PT,1680569215,72,42.0304,-8.1588,7.49,2.16
129,Ziro,100,IN,1680569216,95,27.6333,93.8333,5.41,0.85
130,Cockburn Town,40,TC,1680569216,73,21.4612,-71.1419,25.98,6.17
131,Dzhida,14,RU,1680569216,31,50.6772,106.1806,-2.93,1.63
132,Provideniya,75,RU,1680569216,61,64.3833,-173.3,-11.94,7.0
133,Goderich,100,CA,1680569216,50,43.7501,-81.7165,11.18,3.6
134,Hong Kong,11,HK,1680569081,93,22.2855,114.1577,25.24,0.45
135,Kanniyākumāri,100,IN,1680569217,82,8.0833,77.5667,26.1,4.48
136,Port Augusta,70,AU,1680569217,19,-32.5,137.7667,25.31,2.41
137,Mossamedes,37,AO,1680569217,77,-15.1961,12.1522,23.86,3.35
138,Bahir Dar,12,ET,1680569218,33,11.5936,37.3908,19.81,2.27
139,Port Alfred,100,ZA,1680569218,82,-33.5906,26.891,17.32,1.79
140,Samarinda,100,ID,1680569218,87,-0.5,117.15,25.76,0.94
